Karta_raqami,Karta_turi,Valyuta,Valyuta_kodi,Korxona,Davlat
560221076487866481,china-unionpay,Rupiah,IDR,n/a,Indonesia
5048373246741239,mastercard,Peso,COP,Metal Fabrications,Colombia
5893476074678098172,maestro,Yuan Renminbi,CNY,n/a,China
3555219828962679,jcb,Yuan Renminbi,CNY,Biotechnology: Electromedical & Electrotherapeutic Apparatus,China
3538091267553257,jcb,Krona,SEK,Major Pharmaceuticals,Sweden
5048374102909035,mastercard,Ruble,RUB,Other Consumer Services,Russia
4936495128298570,switch,Peso,PHP,n/a,Philippines
3585120933352661,jcb,Yuan Renminbi,CNY,Other Consumer Services,China
3588675072760724,jcb,Yuan Renminbi,CNY,n/a,China
5100142211697360,mastercard,Rupiah,IDR,Major Pharmaceuticals,Indonesia
3571862925990257,jcb,Ringgit,MYR,Finance/Investors Services,Malaysia
6706442616305096039,laser,Zloty,PLN,Major Pharmaceuticals,Poland
3549840590178019,jcb,Denar,MKD,Home Furnishings,Macedonia
3581514239773840,jcb,Yuan Renminbi,CNY,Real Estate Investment Trusts,China
4026308208700012,visa-electron,Dollar,USD,n/a,United States
3531534173068198,jcb,Rupiah,IDR,Railroads,Indonesia
5602238711847225,bankcard,Peso,COP,Oil & Gas Production,Colombia
5602256887277050,china-unionpay,Sol,PEN,n/a,Peru
6706144535819807304,laser,Yuan Renminbi,CNY,Auto Parts:O.E.M.,China
3532186422252146,jcb,Rial,SAR,Electronic Components,Saudi Arabia
3586084796001204,jcb,Yuan Renminbi,CNY,Biotechnology: Electromedical & Electrotherapeutic Apparatus,China
3567770427353468,jcb,Peso,CLP,Restaurants,Chile
67636172150989471,maestro,Dollar,USD,Specialty Chemicals,United States
3571464817064356,jcb,Peso,PHP,Specialty Chemicals,Philippines
490553262670243070,switch,Rupiah,IDR,Real Estate,Indonesia
3546759915813717,jcb,Yuan Renminbi,CNY,Electric Utilities: Central,China
5610425766941116703,china-unionpay,Real,BRL,n/a,Brazil
5572553290381479,mastercard,Krona,SEK,n/a,Sweden
3588120344900949,jcb,Lev,BGN,Business Services,Bulgaria
3562954313500110,jcb,Rupiah,IDR,Fluid Controls,Indonesia
5100174703960907,mastercard,Ruble,RUB,Newspapers/Magazines,Russia
3539625454610633,jcb,Ruble,RUB,"Computer Software: Programming, Data Processing",Russia
4917861846915063,visa-electron,Euro,EUR,Industrial Machinery/Components,France
201781618495628,diners-club-enroute,Baht,THB,n/a,Thailand
4911399783836170,switch,Ruble,RUB,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Russia
3531974349762979,jcb,Yuan Renminbi,CNY,Computer Software: Prepackaged Software,China
5602252736065168,bankcard,Krone,NOK,n/a,Norway
676251320859555554,maestro,Shekel,ILS,Major Banks,Palestinian Territory
3572831251918512,jcb,Rupiah,IDR,n/a,Indonesia
3557651028413996,jcb,Won,KRW,n/a,South Korea
3572569939016198,jcb,Yuan Renminbi,CNY,n/a,China
3548627918979470,jcb,Manat,AZN,n/a,Azerbaijan
372301396405377,americanexpress,Litas,LTL,n/a,Lithuania
3555625623509467,jcb,Euro,EUR,Major Pharmaceuticals,France
3554479803259282,jcb,Yuan Renminbi,CNY,n/a,China
6762901918904404,maestro,Koruna,CZK,Major Banks,Czech Republic
3547856673001037,jcb,Yuan Renminbi,CNY,Business Services,China
4917310987220164,visa-electron,Yuan Renminbi,CNY,Electric Utilities: Central,China
5478372882686913,mastercard,Euro,EUR,Precious Metals,Portugal
341597802710254,americanexpress,Shekel,ILS,n/a,Palestinian Territory
4175004522206104,visa-electron,Shilling,TZS,Computer peripheral equipment,Tanzania
5100144950831408,mastercard,Colon,CRC,Property-Casualty Insurers,Costa Rica
6304633583071264683,maestro,Peso,PHP,Business Services,Philippines
3567574736683288,jcb,Dollar,CAD,Broadcasting,Canada
342431685624581,americanexpress,Rupiah,IDR,Finance: Consumer Services,Indonesia
5641823304207477545,switch,Sol,PEN,Medical/Dental Instruments,Peru
3558860797379697,jcb,Rupiah,IDR,Major Banks,Indonesia
3581936448545935,jcb,Yuan Renminbi,CNY,Major Banks,China
3540985438465315,jcb,Euro,EUR,Electrical Products,Portugal
3530896092037187,jcb,Shilling,TZS,Business Services,Tanzania
3545219636610133,jcb,Yuan Renminbi,CNY,Oil & Gas Production,China
5002353950045765,mastercard,Somoni,TJS,Electric Utilities: Central,Tajikistan
30080382547343,diners-club-carte-blanche,Rupiah,IDR,Hospital/Nursing Management,Indonesia
201826940311868,diners-club-enroute,Lempira,HNL,n/a,Honduras
3552375937175992,jcb,Yuan Renminbi,CNY,n/a,China
490308435474892205,switch,Yen,JPY,Telecommunications Equipment,Japan
501819861301988633,maestro,Rupiah,IDR,Major Banks,Indonesia
5602214816820862,china-unionpay,Real,BRL,Oil & Gas Production,Brazil
3560230295589559,jcb,Rupiah,IDR,Medical/Dental Instruments,Indonesia
3534375392743378,jcb,Peso,PHP,Beverages (Production/Distribution),Philippines
3543755330676575,jcb,Rupiah,IDR,Real Estate Investment Trusts,Indonesia
3537525155333406,jcb,Rupiah,IDR,Major Banks,Indonesia
5010122130886657,mastercard,Lev,BGN,EDP Services,Bulgaria
5610358182056542,china-unionpay,Yuan Renminbi,CNY,Industrial Specialties,China
201490777473976,diners-club-enroute,Koruna,CZK,Department/Specialty Retail Stores,Czech Republic
5602227226498731,china-unionpay,Yuan Renminbi,CNY,Biotechnology: Commercial Physical & Biological Resarch,China
3552266296855722,jcb,Real,BRL,Semiconductors,Brazil
4041598965794304,visa,Euro,EUR,Industrial Specialties,Greece
374283807894001,americanexpress,Peso,COP,Business Services,Colombia
6304464385601789088,laser,Yuan Renminbi,CNY,Business Services,China
348548424319605,americanexpress,Lek,ALL,Semiconductors,Albania
201721794593887,diners-club-enroute,Rupiah,IDR,Real Estate Investment Trusts,Indonesia
30590267658155,diners-club-carte-blanche,Real,BRL,Forest Products,Brazil
5561521222728581,mastercard,Zloty,PLN,Natural Gas Distribution,Poland
5100174782364872,mastercard,Shekel,ILS,n/a,Israel
337941398684430,americanexpress,Peso,PHP,Professional Services,Philippines
564182770629298335,switch,Hryvnia,UAH,Property-Casualty Insurers,Ukraine
4041377834646585,visa,Euro,EUR,Life Insurance,France
3580231907350006,jcb,Rial,IRR,Metal Fabrications,Iran
3575198289674922,jcb,Yuan Renminbi,CNY,Real Estate,China
3561687680257176,jcb,Rupiah,IDR,Natural Gas Distribution,Indonesia
3545256973174745,jcb,Pound,GBP,EDP Services,United Kingdom
5641820460693737,switch,Pound,SYP,Major Pharmaceuticals,Syria
372301643729017,americanexpress,Yuan Renminbi,CNY,n/a,China
3561948744865630,jcb,Euro,EUR,n/a,France
56022293374031125,china-unionpay,Yuan Renminbi,CNY,Industrial Machinery/Components,China
3566309267937873,jcb,Rupiah,IDR,Major Banks,Indonesia
3563574221130187,jcb,Kwacha,MWK,Computer Software: Prepackaged Software,Malawi
374283372788679,americanexpress,Peso,MXN,Real Estate Investment Trusts,Mexico
30527224486130,diners-club-carte-blanche,Yuan Renminbi,CNY,Telecommunications Equipment,China
6304713543712358,laser,Dollar,USD,Other Consumer Services,United States
5002357733594734,mastercard,Shilling,TZS,Major Pharmaceuticals,Tanzania
4913901119612924,visa-electron,Rupiah,IDR,Electrical Products,Indonesia
30426670021345,diners-club-carte-blanche,Euro,EUR,Home Furnishings,France
5007660127475419,mastercard,Yuan Renminbi,CNY,Major Pharmaceuticals,China
3546718695097958,jcb,Peso,PHP,Real Estate Investment Trusts,Philippines
3562455172153496,jcb,Euro,EUR,n/a,Greece
372301645239213,americanexpress,Peso,ARS,Steel/Iron Ore,Argentina
201835635164516,diners-club-enroute,Rupiah,IDR,Semiconductors,Indonesia
5100171930111569,mastercard,Dollar,USD,Shoe Manufacturing,United States
3570804451949266,jcb,Dong,VND,Computer Communications Equipment,Vietnam
6759599850933350,maestro,Euro,EUR,Major Pharmaceuticals,Saint Pierre and Miquelon
4041374944456732,visa,Taka,BDT,Major Banks,Bangladesh
30198898843889,diners-club-carte-blanche,Yuan Renminbi,CNY,Major Pharmaceuticals,China
3578089426490701,jcb,Som,UZS,Biotechnology: Biological Products (No Diagnostic Substances),Uzbekistan
675975456864387299,maestro,Pound,GBP,Business Services,United Kingdom
3552251143647548,jcb,Tenge,KZT,Real Estate,Kazakhstan
3575509752479799,jcb,Peso,PHP,Industrial Machinery/Components,Philippines
5007662121169444,mastercard,Peso,ARS,Real Estate Investment Trusts,Argentina
3541390221305662,jcb,Euro,EUR,Electric Utilities: Central,Finland
5474877678502995,diners-club-us-ca,Somoni,TJS,Property-Casualty Insurers,Tajikistan
348266111219638,americanexpress,Real,BRL,n/a,Brazil
5602223529062316,china-unionpay,Euro,EUR,Computer Software: Prepackaged Software,Portugal
3550717823023830,jcb,Yuan Renminbi,CNY,Building Products,China
5602215989805724237,china-unionpay,Dollar,USD,Agricultural Chemicals,Ecuador
3540050010739924,jcb,Denar,MKD,"Computer Software: Programming, Data Processing",Macedonia
3573929643003818,jcb,Peso,PHP,Computer Software: Prepackaged Software,Philippines
3582109238838329,jcb,Dollar,NZD,Major Banks,New Zealand
677143995266361728,laser,Rupiah,IDR,Real Estate Investment Trusts,Indonesia
560225882893496292,china-unionpay,Peso,ARS,Military/Government/Technical,Argentina
337941901172352,americanexpress,Won,KPW,Investment Managers,North Korea
3588783627809713,jcb,Real,BRL,Miscellaneous manufacturing industries,Brazil
5216918655301424,mastercard,Rupiah,IDR,Textiles,Indonesia
3584955802807167,jcb,Baht,THB,Industrial Machinery/Components,Thailand
4041371265612,visa,Yuan Renminbi,CNY,Investment Bankers/Brokers/Service,China
3580769726595012,jcb,Shilling,TZS,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Tanzania
36672011943960,diners-club-international,Ruble,RUB,n/a,Russia
3566144713491062,jcb,Yuan Renminbi,CNY,Industrial Machinery/Components,China
3570005640448125,jcb,Rupiah,IDR,Department/Specialty Retail Stores,Indonesia
3531727352450654,jcb,Krona,ISK,Medical Electronics,Iceland
3546999625614464,jcb,Yuan Renminbi,CNY,Beverages (Production/Distribution),China
4041377183488,visa,Zloty,PLN,Military/Government/Technical,Poland
4175002154945064,visa-electron,Yuan Renminbi,CNY,Major Banks,China
3577774750623578,jcb,Rial,IRR,Services-Misc. Amusement & Recreation,Iran
201984474811603,diners-club-enroute,Dollar,CAD,Major Pharmaceuticals,Canada
3569212087490379,jcb,Yuan Renminbi,CNY,Major Chemicals,China
5519071798751719,mastercard,Yuan Renminbi,CNY,Real Estate,China
5597164200417840,mastercard,Euro,EUR,Major Banks,France
5210738188211049,mastercard,Peso,PHP,n/a,Philippines
5163063887781698,mastercard,Peso,CUP,n/a,Cuba
3529765071217529,jcb,Yuan Renminbi,CNY,EDP Services,China
560222033079799793,china-unionpay,Rupiah,IDR,Major Pharmaceuticals,Indonesia
5277524386736825,mastercard,Rupiah,IDR,Natural Gas Distribution,Indonesia
3583006584744078,jcb,Euro,EUR,Major Banks,Finland
56022110847901488,china-unionpay,Real,BRL,Real Estate,Brazil
4971217248796,visa,Rupiah,IDR,n/a,Indonesia
3576261332358494,jcb,Peso,COP,n/a,Colombia
3533200379257542,jcb,Real,BRL,Major Pharmaceuticals,Brazil
6763818794772805,maestro,Yuan Renminbi,CNY,Clothing/Shoe/Accessory Stores,China
5557443343295018,diners-club-us-ca,Peso,MXN,Restaurants,Mexico
30221662980115,diners-club-carte-blanche,Yuan Renminbi,CNY,n/a,China
3564192683447244,jcb,Euro,EUR,EDP Services,Portugal
5602213820158194,china-unionpay,Rupee,MUR,Major Banks,Mauritius
374283605098136,americanexpress,Krona,SEK,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Sweden
3533740956462189,jcb,Euro,EUR,n/a,Greece
4197159667642416,visa,Quetzal,GTQ,Major Banks,Guatemala
4905278800345407,switch,Euro,EUR,Major Banks,Portugal
5558716671596589,diners-club-us-ca,Kyat,MMK,Property-Casualty Insurers,Myanmar
3543807592219238,jcb,Peso,PHP,n/a,Philippines
6331100129454791293,switch,Euro,EUR,Biotechnology: Laboratory Analytical Instruments,Spain
3530628091119249,jcb,Yuan Renminbi,CNY,Major Banks,China
3533587983024155,jcb,Dinar,RSD,n/a,Serbia
6334685437092473,solo,Zloty,PLN,Real Estate Investment Trusts,Poland
201972704393161,diners-club-enroute,Afghani,AFN,Business Services,Afghanistan
5151796436619208,mastercard,Peso,ARS,Beverages (Production/Distribution),Argentina
3554744988202963,jcb,Dram,AMD,Biotechnology: Biological Products (No Diagnostic Substances),Armenia
3584175279768350,jcb,Peso,PHP,Publishing,Philippines
6759894121174994804,maestro,Yuan Renminbi,CNY,Medical Specialities,China
5602234756812208,bankcard,Yuan Renminbi,CNY,Meat/Poultry/Fish,China
3563027859474831,jcb,Rupiah,IDR,Savings Institutions,Indonesia
6371047970185210,instapayment,Yuan Renminbi,CNY,Packaged Foods,China
3556484032460667,jcb,Yuan Renminbi,CNY,Real Estate,China
5602233697363412,china-unionpay,Naira,NGN,Other Consumer Services,Nigeria
5172579729384093,mastercard,Zloty,PLN,Real Estate Investment Trusts,Poland
6386979684353770,instapayment,Lek,ALL,Real Estate Investment Trusts,Albania
3585645591018048,jcb,Euro,EUR,Accident &Health Insurance,Portugal
5602228879630679,bankcard,Dollar,NAD,Major Banks,Namibia
3584337167533334,jcb,Kip,LAK,Package Goods/Cosmetics,Laos
5602222385088654,china-unionpay,Franc,XOF,n/a,Burkina Faso
5602221167556482,bankcard,Yuan Renminbi,CNY,Electric Utilities: Central,China
3539004628728806,jcb,Rupiah,IDR,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Indonesia
56022212124965275,china-unionpay,Ruble,BYR,Medical/Dental Instruments,Belarus
201733373160293,diners-club-enroute,Lek,ALL,Property-Casualty Insurers,Albania
5602246583527429,bankcard,Rupiah,IDR,Railroads,Indonesia
4508589552164437,visa-electron,Zloty,PLN,Newspapers/Magazines,Poland
5222677251093635,mastercard,Peso,PHP,Oil & Gas Production,Philippines
30126347697192,diners-club-carte-blanche,Rupiah,IDR,n/a,Indonesia
4936347621124144,switch,Real,BRL,Natural Gas Distribution,Brazil
36743071556123,diners-club-international,Peso,PHP,Medical Specialities,Philippines
3528656500030537,jcb,Rupiah,IDR,Commercial Banks,Indonesia
5610425490452935,bankcard,Euro,EUR,n/a,Portugal
36546455040907,diners-club-international,Kina,PGK,Commercial Banks,Papua New Guinea
3556983687728344,jcb,Yuan Renminbi,CNY,n/a,China
372798898624209,americanexpress,Dollar,JMD,Real Estate Investment Trusts,Jamaica
3575517776912190,jcb,Rupiah,IDR,Specialty Chemicals,Indonesia
50385800807134112,maestro,Baht,THB,Electric Utilities: Central,Thailand
5610008167265390,bankcard,Yuan Renminbi,CNY,Major Pharmaceuticals,China
3536285569890233,jcb,Yuan Renminbi,CNY,Steel/Iron Ore,China
201490276923430,diners-club-enroute,Rial,YER,EDP Services,Yemen
5048378800533302,mastercard,Yuan Renminbi,CNY,Computer Communications Equipment,China
3530690452997712,jcb,Euro,EUR,Major Pharmaceuticals,France
5602217409808384,bankcard,Rial,YER,Major Banks,Yemen
375084917602147,americanexpress,Euro,EUR,n/a,France
5048376213646034,mastercard,Dong,VND,Major Pharmaceuticals,Vietnam
3543619699680737,jcb,Leu,MDL,Real Estate Investment Trusts,Moldova
6379090401264545,instapayment,Real,BRL,n/a,Brazil
6398432616195089,instapayment,Euro,EUR,Major Pharmaceuticals,Andorra
676763894302210380,solo,Yuan Renminbi,CNY,Real Estate,China
5602249215770102,china-unionpay,Real,BRL,Telecommunications Equipment,Brazil
3576292782275656,jcb,Sol,PEN,Real Estate Investment Trusts,Peru
3574283812168542,jcb,Peso,PHP,Major Pharmaceuticals,Philippines
6709262048551730,laser,Peso,PHP,Precious Metals,Philippines
3548449727564199,jcb,Shekel,ILS,Oil & Gas Production,Israel
3539932140999184,jcb,Yen,JPY,Diversified Commercial Services,Japan
5100179340406958,mastercard,Dollar,USD,n/a,United States
503890610223743479,maestro,Peso,PHP,Metal Fabrications,Philippines
3567736134629060,jcb,Euro,EUR,Major Pharmaceuticals,France
3565535291043004,jcb,Krona,SEK,Major Banks,Sweden
4175008654098833,visa-electron,Rupiah,IDR,Containers/Packaging,Indonesia
5010120695777121,mastercard,Rial,YER,n/a,Yemen
5602246973889439,bankcard,Krona,SEK,Business Services,Sweden
3559499536529483,jcb,Yen,JPY,Real Estate Investment Trusts,Japan
5007665785131006,mastercard,Rupiah,IDR,n/a,Indonesia
3565427620096186,jcb,Ruble,BYR,n/a,Belarus
3540284208894197,jcb,Zloty,PLN,Building Products,Poland
560225225454327698,china-unionpay,Franc,BIF,n/a,Burundi
5010129407936263,mastercard,Zloty,PLN,Major Chemicals,Poland
3568346821147746,jcb,Birr,ETB,Medical/Dental Instruments,Ethiopia
3550900424449949,jcb,Zloty,PLN,Electrical Products,Poland
3547479648202299,jcb,Peso,PHP,Farming/Seeds/Milling,Philippines
6763080115781011,maestro,Won,KPW,n/a,North Korea
5007665035083270,mastercard,Yuan Renminbi,CNY,Business Services,China
5038667270447346,maestro,Balboa,PAB,Restaurants,Panama
5427782732640849,diners-club-us-ca,Rupiah,IDR,Major Banks,Indonesia
372301101168229,americanexpress,Euro,EUR,Building Products,Spain
3538757413725706,jcb,Yuan Renminbi,CNY,n/a,China
3574561946481513,jcb,Yuan Renminbi,CNY,Biotechnology: Laboratory Analytical Instruments,China
50388367709027643,maestro,Yuan Renminbi,CNY,n/a,China
5227671870679051,mastercard,Peso,PHP,Auto Parts:O.E.M.,Philippines
560221684172900182,china-unionpay,Krona,SEK,Medical/Dental Instruments,Sweden
201935063545614,diners-club-enroute,Peso,PHP,Major Banks,Philippines
4911780176094911029,switch,Peso,MXN,Office Equipment/Supplies/Services,Mexico
3586646011614522,jcb,Rial,YER,Consumer Electronics/Appliances,Yemen
3531508928406424,jcb,Yuan Renminbi,CNY,Real Estate Investment Trusts,China
3573838748945767,jcb,Rupiah,IDR,Food Distributors,Indonesia
5436464446962749,diners-club-us-ca,Krone,NOK,n/a,Norway
4026620639459863,visa-electron,Yuan Renminbi,CNY,Major Pharmaceuticals,China
63049899791468420,maestro,Euro,EUR,n/a,Finland
6304949200379366396,maestro,Ruble,RUB,EDP Services,Russia
3583204203358772,jcb,Boliviano,BOB,n/a,Bolivia
3560398668773389,jcb,Euro,EUR,Real Estate Investment Trusts,Kosovo
3559804868941885,jcb,Franc,CDF,n/a,Democratic Republic of the Congo
201699303414383,diners-club-enroute,Hryvnia,UAH,EDP Services,Ukraine
3568536479691462,jcb,Ruble,RUB,Major Pharmaceuticals,Russia
3551869706982209,jcb,Euro,EUR,Metal Fabrications,Finland
3548090678012158,jcb,Dollar,USD,Telecommunications Equipment,United States
201958824613620,diners-club-enroute,Yuan Renminbi,CNY,n/a,China
3583080637738676,jcb,Yuan Renminbi,CNY,Computer Software: Prepackaged Software,China
4913330771669750,visa-electron,Euro,EUR,Railroads,France
67716089096850430,laser,Dollar,CAD,n/a,Canada
3543965485000980,jcb,Yuan Renminbi,CNY,n/a,China
3556886830459149,jcb,Ruble,RUB,n/a,Russia
5893542114351403321,maestro,Ruble,RUB,Major Chemicals,Russia
3548050823479603,jcb,Ruble,RUB,Major Pharmaceuticals,Russia
3531582429557522,jcb,Peso,ARS,Engineering & Construction,Argentina
3588274481284581,jcb,Yuan Renminbi,CNY,n/a,China
3585935812129934,jcb,Rupiah,IDR,Major Banks,Indonesia
3555946755187181,jcb,Rupiah,IDR,n/a,Indonesia
30575752980255,diners-club-carte-blanche,Rupiah,IDR,Biotechnology: Biological Products (No Diagnostic Substances),Indonesia
201556499433330,diners-club-enroute,Yuan Renminbi,CNY,Real Estate Investment Trusts,China
30087792122567,diners-club-carte-blanche,Peso,ARS,Real Estate Investment Trusts,Argentina
5893254163166095,maestro,Yuan Renminbi,CNY,n/a,China
3570346385348124,jcb,Yuan Renminbi,CNY,n/a,China
3568019020789226,jcb,Lek,ALL,Computer Software: Prepackaged Software,Albania
5108750891147076,mastercard,Hryvnia,UAH,Computer peripheral equipment,Ukraine
3587572294753663,jcb,Dollar,USD,Steel/Iron Ore,United States
3570765159473356,jcb,Denar,MKD,n/a,Macedonia
3550487024088764,jcb,Baht,THB,Movies/Entertainment,Thailand
4508960034985873,visa-electron,Euro,EUR,Life Insurance,Greece
3577635275511723,jcb,Real,BRL,Real Estate Investment Trusts,Brazil
6333512691615135940,switch,Peso,COP,Major Banks,Colombia
3573753482914533,jcb,Zloty,PLN,Real Estate,Poland
3559466658436920,jcb,Rupiah,IDR,Major Banks,Indonesia
36741739918396,diners-club-international,Euro,EUR,n/a,Malta
3569815791461427,jcb,Euro,EUR,Major Banks,Portugal
3558087192372735,jcb,Rupiah,IDR,n/a,Indonesia
4026100005149836,visa-electron,Rupiah,IDR,Real Estate Investment Trusts,Indonesia
3586870283814046,jcb,Dollar,USD,EDP Services,United States
201610611368476,diners-club-enroute,Peso,UYU,Business Services,Uruguay
3577002046451640,jcb,Real,BRL,Semiconductors,Brazil
3556196449293206,jcb,Ruble,RUB,Semiconductors,Russia
490543837410118691,switch,Yuan Renminbi,CNY,Savings Institutions,China
3529045746079640,jcb,Rupiah,IDR,Medical Specialities,Indonesia
503837067607977585,maestro,Euro,EUR,n/a,Cyprus
3576784116534915,jcb,Rupee,LKR,Broadcasting,Sri Lanka
675908794946756939,switch,Yuan Renminbi,CNY,Major Pharmaceuticals,China
5018357386133915,maestro,Shekel,ILS,Major Banks,Israel
3572849589691239,jcb,Euro,EUR,Biotechnology: Electromedical & Electrotherapeutic Apparatus,France
3577069266282112,jcb,Rupiah,IDR,Computer Software: Prepackaged Software,Indonesia
3573692489961503,jcb,Dollar,XCD,Aerospace,Grenada
633110434231981677,switch,Peso,PHP,Telecommunications Equipment,Philippines
30107381148821,diners-club-carte-blanche,Dollar,JMD,Recreational Products/Toys,Jamaica
3551199765119943,jcb,Yuan Renminbi,CNY,Medical/Dental Instruments,China
5018895051245971930,maestro,Rupiah,IDR,Major Chemicals,Indonesia
5585415327925766,diners-club-us-ca,Euro,EUR,Transportation Services,Germany
3567110789468226,jcb,Zloty,PLN,n/a,Poland
3551605145110527,jcb,Yuan Renminbi,CNY,Packaged Foods,China
4017952246451004,visa,Peso,PHP,Other Specialty Stores,Philippines
3577079156375819,jcb,Dollar,USD,n/a,East Timor
5641824408012673120,switch,Yuan Renminbi,CNY,Biotechnology: Biological Products (No Diagnostic Substances),China
30256012443927,diners-club-carte-blanche,Yuan Renminbi,CNY,n/a,China
3570315952678544,jcb,Peso,DOP,Major Banks,Dominican Republic
201722739266035,diners-club-enroute,Euro,EUR,EDP Services,Latvia
3552508058157775,jcb,Yuan Renminbi,CNY,Major Pharmaceuticals,China
3538322171923702,jcb,Peso,ARS,Industrial Specialties,Argentina
3576592024964615,jcb,Yuan Renminbi,CNY,n/a,China
3583306879982882,jcb,Rupiah,IDR,Services-Misc. Amusement & Recreation,Indonesia
3554503313989078,jcb,Sol,PEN,Property-Casualty Insurers,Peru
3549484043696218,jcb,Dollar,USD,Tools/Hardware,American Samoa
5452972048776365,mastercard,Hryvnia,UAH,Telecommunications Equipment,Ukraine
6304508036716787,laser,Peso,CLP,n/a,Chile
5602229226689285,bankcard,Yuan Renminbi,CNY,Real Estate Investment Trusts,China
3588901279720828,jcb,Euro,EUR,Major Banks,Finland
3543943623210472,jcb,Zloty,PLN,Natural Gas Distribution,Poland
3562156582173492,jcb,Euro,EUR,n/a,France
3588080764835571,jcb,Rupiah,IDR,n/a,Indonesia
3566556202681350,jcb,Rupiah,IDR,n/a,Indonesia
4883124017364,visa,Krona,SEK,Hospital/Nursing Management,Sweden
3528782840451348,jcb,Balboa,PAB,Major Chemicals,Panama
3555216582896671,jcb,Ruble,RUB,Major Banks,Russia
3566856707848698,jcb,Peso,COP,Major Pharmaceuticals,Colombia
676176479879836840,maestro,Zloty,PLN,Precious Metals,Poland
201783548987880,diners-club-enroute,Rupiah,IDR,Industrial Machinery/Components,Indonesia
4508913141719701,visa-electron,Afghani,AFN,Real Estate Investment Trusts,Afghanistan
345445432210624,americanexpress,Rupiah,IDR,Medical Specialities,Indonesia
3532624241069382,jcb,Peso,PHP,"Computer Software: Programming, Data Processing",Philippines
3536752026897226,jcb,Dollar,USD,Other Specialty Stores,United States
3576446826884093,jcb,Manat,TMT,Property-Casualty Insurers,Turkmenistan
56022510961815077,china-unionpay,Dollar,USD,Biotechnology: Commercial Physical & Biological Resarch,United States
67599822584386810,maestro,Rupiah,IDR,Oil & Gas Production,Indonesia
5602233203571219,bankcard,Euro,EUR,Television Services,Portugal
5490099413839596,diners-club-us-ca,Yuan Renminbi,CNY,Real Estate Investment Trusts,China
5002357893663402,mastercard,Manat,AZN,n/a,Azerbaijan
3556666589888924,jcb,Rupiah,IDR,Medical/Dental Instruments,Indonesia
3570360185002864,jcb,Rupiah,IDR,Packaged Foods,Indonesia
5893037866977300,maestro,Koruna,CZK,Beverages (Production/Distribution),Czech Republic
490392936208486609,switch,Rupiah,IDR,Commercial Banks,Indonesia
3544320219829073,jcb,Yuan Renminbi,CNY,Major Pharmaceuticals,China
5329686168862406,mastercard,Lempira,HNL,Major Pharmaceuticals,Honduras
5010128311871806,mastercard,Rupiah,IDR,Computer Communications Equipment,Indonesia
670996064247505060,laser,Peso,PHP,Professional Services,Philippines
4913829245139472,visa-electron,Baht,THB,Coal Mining,Thailand
3539042021615337,jcb,Rupiah,IDR,Precious Metals,Indonesia
5218609345046580,mastercard,Afghani,AFN,Major Chemicals,Afghanistan
6383167946161479,instapayment,Yuan Renminbi,CNY,n/a,China
5573574623333317,mastercard,Krona,SEK,EDP Services,Sweden
6304886213386413759,laser,Peso,MXN,n/a,Mexico
4936681641335422570,switch,Dirham,MAD,Hospital/Nursing Management,Morocco
3580454810661232,jcb,Zloty,PLN,Investment Managers,Poland
30350295891868,diners-club-carte-blanche,Dinar,RSD,Electronic Components,Serbia
4903648873486435299,switch,Yuan Renminbi,CNY,Real Estate Investment Trusts,China
3534051904015411,jcb,Franc,XOF,Major Banks,Ivory Coast
5100175851853406,mastercard,Litas,LTL,Banks,Lithuania
3567709942710471,jcb,Real,BRL,Diversified Commercial Services,Brazil
5476006021250742,mastercard,Dollar,USD,n/a,United States
337941172333170,americanexpress,Dram,AMD,Packaged Foods,Armenia
6759661374563053,switch,Dinar,KWD,Other Consumer Services,Kuwait
337941613757953,americanexpress,Lev,BGN,n/a,Bulgaria
501831871575920711,maestro,Ruble,RUB,n/a,Russia
3533114542193262,jcb,Yuan Renminbi,CNY,Paper,China
589398813747290052,maestro,Sol,PEN,Real Estate Investment Trusts,Peru
201517248731978,diners-club-enroute,Ruble,RUB,Major Pharmaceuticals,Russia
3557311718998422,jcb,Rupiah,IDR,Natural Gas Distribution,Indonesia
337941397470260,americanexpress,Zloty,PLN,Real Estate,Poland
36714875200630,diners-club-international,Guarani,PYG,Life Insurance,Paraguay
5641821669405527,switch,Krona,SEK,n/a,Sweden
3535038598418885,jcb,Peso,MXN,Other Consumer Services,Mexico
56103011157030045,china-unionpay,Denar,MKD,n/a,Macedonia
5100142731662035,mastercard,Yuan Renminbi,CNY,Oil/Gas Transmission,China
3555963770053462,jcb,Som,UZS,Oil & Gas Production,Uzbekistan
3571666496889735,jcb,Rupiah,IDR,Oil/Gas Transmission,Indonesia
3566470115667755,jcb,Peso,PHP,n/a,Philippines
5010128729106274,mastercard,Rupiah,IDR,n/a,Indonesia
5610230627012028,bankcard,Rupiah,IDR,n/a,Indonesia
6378881762340184,instapayment,Krona,SEK,Computer Software: Prepackaged Software,Sweden
36396801314915,diners-club-international,Yuan Renminbi,CNY,Transportation Services,China
3564646597542275,jcb,Hryvnia,UAH,Real Estate Investment Trusts,Ukraine
6759715276250960173,maestro,Zloty,PLN,EDP Services,Poland
